"candidate","year","EV_Total"
"Ford, Gerald",1976,241
"Carter, Jimmy",1976,297
"Anderson, John B.",1980,0
"Carter, Jimmy",1980,49
"Reagan, Ronald",1980,489
"Mondale, Walter",1984,13
"Reagan, Ronald",1984,525
"Dukakis, Michael",1988,112
"Bush, George H.W.",1988,426
"Perot, Ross",1992,0
"Bush, George H.W.",1992,168
"Clinton, Bill",1992,370
"WriteIn",1996,0
"Nader, Ralph",1996,0
"Perot, Ross",1996,0
"Dole, Robert",1996,159
"Clinton, Bill",1996,379
"Nader, Ralph",2000,0
"Bush, George W.",2000,271
"Gore, Al",2000,267
"Kerry, John",2004,252
"Bush, George W.",2004,286
"McCain, John",2008,173
"Obama, Barack H.",2008,365
"Romney, Mitt",2012,206
"Obama, Barack H.",2012,332
"Stein, Jill",2016,0
"McMullin, Evan",2016,0
"Johnson, Gary",2016,0
"Trump, Donald J.",2016,306
"Clinton, Hillary",2016,232
